observation;ad_spend;price;seasonality;inventory;interest_rate;demand
138;76,0237;20,7678;-0,8973;79,3378;4,0147;76,1055
139;77,4779;20,8804;-0,9286;81,2438;4,0352;77,1613
140;78,8721;20,9885;-0,9544;83,1719;4,0566;79,8950
141;80,2072;21,0920;-0,9745;70,4223;4,0789;76,6726
142;81,4845;21,1909;-0,9889;72,3952;4,1020;76,7305
143;82,7055;21,2851;-0,9974;74,3906;4,1258;80,5945
144;83,8718;20,4946;-1,0000;76,4088;4,1505;80,1057
145;69,6852;20,5794;-0,9967;78,4497;4,1759;72,2290
146;70,7479;20,6594;-0,9875;80,5135;4,2021;75,8919
147;71,7620;20,7348;-0,9725;82,6001;4,2290;77,2061
148;72,7298;20,8054;-0,9517;70,0096;4,2566;73,8570
149;73,6540;20,8713;-0,9253;72,1420;4,2849;76,1449
150;74,5371;20,9326;-0,8934;74,2973;4,3139;78,6766
151;75,3821;20,9892;-0,8562;76,4753;4,3435;76,5906
152;76,1919;21,0412;-0,8140;78,6760;4,3737;77,3397
153;76,9695;21,0887;-0,7669;80,8994;4,4046;80,9943
154;62,4181;21,1317;-0,7154;83,1452;4,4360;73,0758
155;63,1411;20,2903;-0,6595;70,7134;4,4680;71,3068
156;63,8419;20,3246;-0,5998;73,0037;4,5005;75,6875
157;64,5237;20,3546;-0,5366;75,3159;4,5335;76,9963
158;65,1903;20,3805;-0,4701;77,6499;4,5670;76,1482
159;65,8452;20,4024;-0,4009;80,0054;4,6010;80,0776
160;66,4920;20,4203;-0,3293;82,3820;4,6354;83,0770
161;67,1342;20,4344;-0,2558;84,7797;4,6702;81,8289
162;67,7757;20,4448;-0,1808;72,4979;4,7055;82,9083
163;53,1200;20,4516;-0,1046;74,9364;4,7410;79,0815
164;53,7709;20,4550;-0,0279;77,3949;4,7769;78,0374
165;54,4318;20,4551;0,0490;79,8729;4,8132;78,3791
166;55,1065;19,5721;0,1256;82,3702;4,8497;82,2868
167;55,7985;19,5661;0,2015;84,8861;4,8864;82,4402
168;56,5112;19,5574;0,2761;87,4204;4,9234;81,5442
169;57,2481;19,5459;0,3492;75,2726;4,9606;84,4301
170;58,0125;19,5320;0,4202;77,8422;4,9980;86,5626
171;58,8076;19,5159;0,4887;80,4287;5,0355;85,4000
172;44,3366;19,4976;0,5543;83,0316;5,0731;80,3303
173;45,2025;19,4774;0,6166;85,6504;5,1108;84,1979
174;46,1082;19,4554;0,6753;88,2845;5,1486;83,3309
175;47,0564;19,4319;0,7299;90,9334;5,1864;84,8981
176;48,0497;19,4071;0,7803;78,8966;5,2243;88,1919
177;49,0906;18,5011;0,8261;81,5734;5,2621;87,6798
178;50,1814;18,4742;0,8669;84,2632;5,2999;87,1462
179;51,3240;18,4465;0,9027;86,9654;5,3376;90,9462
180;52,5206;18,4183;0,9331;89,6795;5,3752;91,5777
